"Country","ParticipantName","Address","City","BIC","Readiness Date","Scheme Leaving Date"
"AUSTRIA","RAIFFEISENBANK BLUDENZ-MONTAFON EGEN","Werdenbergerstrasse 9","Bludenz","RVVGAT2B468","2009-11-02",""
"AUSTRIA","Raiffeisenbank Bodensee-Leiblachtal eGen","Seestr. 1","Hard","RVVGAT2B431","2009-11-02",""
"AUSTRIA","Raiffeisenbank Brixen im Thale reg.Gen.m.b.H.","Dorfstrasse 92","Brixen im Thale","RZTIAT22215","2009-11-02",""
"AUSTRIA","RAIFFEISENBANK BRUCK-CARNUNTUM eGen","1, FRIEDRICH WILHELM RAIFFEISENPLATZ","BRUCK AN DER LEITHA","RLNWATWWBRL","2009-11-02",""
"AUSTRIA","Raiffeisenbank Bruck-Fusch-Kaprun eGen","Glocknerstrasse 6","Bruck an der Glocknerstrasse","RVSAAT2S012","2009-11-02",""
"AUSTRIA","Raiffeisenbank Brueckl-Eberstein-Klein St.Paul-Waisenberg reg.Gen.m.b.H.","Huettenbergerstrasse 1","Brueckl","RZKTAT2K271","2009-11-02",""
"AUSTRIA","Raiffeisenbank Buch Gallzein und Strass reg.Gen.m.b.H.","Nr. 108 A","Buch","RZTIAT22272","2009-11-02",""
"AUSTRIA","Raiffeisenbank Defereggental reg.Gen.m.b.H.","Innerrotte 38","St. Jakob i.Defreggen","RZTIAT22367","2009-11-02",""
"AUSTRIA","Raiffeisenbank Dienten eGen","Dorf 37","Dienten","RVSAAT2S013","2009-11-02",""
"AUSTRIA","Raiffeisenbank Donau-Ameisberg eGen","Marktplatz 10","Sarleinsbach","RZOOAT2L075","2009-11-02",""
"AUSTRIA","Raiffeisenbank Drassmarkt-Kobersdorf-St. Martin eGen","Hauptstrasse 29","Drassmarkt","RLBBAT2E014","2009-11-02",""
"AUSTRIA","Raiffeisenbank Drautal reg.Gen.m.b.H.","Hauptstrasse 163","Paternion","RZKTAT2K442","2009-11-02",""
"AUSTRIA","Raiffeisenbank Dreilaendereck Bgld-Nord eGen","Mittlere Hauptstrasse 71 - 73","Nickelsdorf","RLBBAT2E038","2009-11-02",""
"AUSTRIA","Raiffeisenbank Eberndorf reg.Gen.m.b.H.","Bahnstrasse 22","Eberndorf","RZKTAT2K288","2009-11-02",""
"AUSTRIA","Raiffeisenbank Eberschwang eGen","Eberschwang 116","Eberschwang","RZOOAT2L081","2009-11-02",""
"AUSTRIA","Raiffeisenbank Edt-Lambach eGen","Marktplatz 14","Lambach","RZOOAT2L083","2009-11-02",""
"AUSTRIA","RAIFFEISENBANK EGGENBURG eGen","Hauptplatz 24-26","EGGENBURG","RLNWATWW123","2009-11-02",""
"AUSTRIA","Raiffeisenbank Ehrwald-Lermoos-Biberwier reg.Gen.m.b.H.","Kirchplatz 31","Ehrwald","RZTIAT22219","2009-11-02",""
"AUSTRIA","Raiffeisenbank Ennstal eGen","Kirchenplatz 11","Ternberg","RZOOAT2L080","2009-11-02",""
"AUSTRIA","Raiffeisenbank Erl reg.Gen.m.b.H.","Dorf 44","Erl","RZTIAT22223","2009-11-02",""
"AUSTRIA","Raiffeisenbank Faistenau-Hintersee eGen","Faistenau 44","Faistenau","RVSAAT2S016","2009-11-02",""
"AUSTRIA","Raiffeisenbank Feldkirch","Domplatz 3","Feldkirch","RVVGAT2B422","2009-11-02",""
"AUSTRIA","Raiffeisenbank Feldkirchen-Goldwoerth eGen","Hauptstrasse 2","Feldkirchen a.d. Donau","RZOOAT2L100","2009-11-02",""
"AUSTRIA","Raiffeisenbank Flachgau Mitte eGen","Dorf 1","Eugendorf","RVSAAT2S015","2009-11-02",""
"AUSTRIA","Raiffeisenbank Frauenkirchen-Podersdorf am See eGen","Amtshausgasse 2","Frauenkirchen","RLBBAT2E116","2009-11-02",""
