"Country","ParticipantName","Address","City","BIC","Readiness Date","Scheme Leaving Date"
"AUSTRIA","Raiffeisenbank Au","Lisse 94","Au","RVVGAT2B405","2008-01-28",""
"AUSTRIA","Raiffeisenbank Bad Radkersburg-Kloech eGen","Halbenrainer Strasse 2","Bad Radkersburg","RZSTAT2G312","2008-01-28",""
"AUSTRIA","Raiffeisenbank Bad Wimsbach-Neydharting eGen","Markt 23","Bad Wimsbach Neydharting","RZOOAT2L750","2008-01-28",""
"AUSTRIA","Raiffeisenbank Bergheim eGen","Dorfstrassse 37","Bergheim","RVSAAT2S008","2008-01-28",""
"AUSTRIA","RAIFFEISENBANK BERNHARDSTHAL - GROSSKRUT - ALTLICHTENWARTH eGen","3A, POYSDORFER STRASSE","BERNHARDSTHAL","RLNWATWWBGA","2008-01-28",""
"AUSTRIA","Raiffeisenbank Bezau-Mellau-Bizau","Platz 398","Bezau","RVVGAT2B406","2008-01-28",""
"AUSTRIA","Raiffeisenbank Bischofshofen eGen","Franz-Mooshammer-Platz 7","Bischofshofen","RVSAAT2S010","2008-01-28",""
"AUSTRIA","Raiffeisenbank Bleiburg reg.Gen.m.b.H.","10. Oktober-Platz 13","Bleiburg","RZKTAT2K272","2008-01-28",""
"AUSTRIA","RAIFFEISENBANK BLUDENZ-MONTAFON EGEN","Werdenbergerstrasse 9","Bludenz","RVVGAT2B468","2008-01-28",""
"AUSTRIA","Raiffeisenbank Bodensee-Leiblachtal eGen","Seestr. 1","Hard","RVVGAT2B431","2008-01-28",""
"AUSTRIA","Raiffeisenbank Brixen im Thale reg.Gen.m.b.H.","Dorfstrasse 92","Brixen im Thale","RZTIAT22215","2008-01-28",""
"AUSTRIA","RAIFFEISENBANK BRUCK-CARNUNTUM eGen","1, FRIEDRICH WILHELM RAIFFEISENPLATZ","BRUCK AN DER LEITHA","RLNWATWWBRL","2008-01-28",""
"AUSTRIA","Raiffeisenbank Bruck-Fusch-Kaprun eGen","Glocknerstrasse 6","Bruck an der Glocknerstrasse","RVSAAT2S012","2008-01-28",""
"AUSTRIA","Raiffeisenbank Brueckl-Eberstein-Klein St.Paul-Waisenberg reg.Gen.m.b.H.","Huettenbergerstrasse 1","Brueckl","RZKTAT2K271","2008-01-28",""
"AUSTRIA","Raiffeisenbank Buch Gallzein und Strass reg.Gen.m.b.H.","Nr. 108 A","Buch","RZTIAT22272","2008-01-28",""
"AUSTRIA","Raiffeisenbank Defereggental reg.Gen.m.b.H.","Innerrotte 38","St. Jakob i.Defreggen","RZTIAT22367","2008-01-28",""
"AUSTRIA","Raiffeisenbank Dienten eGen","Dorf 37","Dienten","RVSAAT2S013","2008-01-28",""
"AUSTRIA","Raiffeisenbank Donau-Ameisberg eGen","Marktplatz 10","Sarleinsbach","RZOOAT2L075","2008-01-28",""
"AUSTRIA","Raiffeisenbank Drassmarkt-Kobersdorf-St. Martin eGen","Hauptstrasse 29","Drassmarkt","RLBBAT2E014","2008-01-28",""
